week,team,user,week total,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,ao_list
3,Prancer,The Worm,11,,6,,,,,5,,,,,"the-grove, the-silo"
1,Rudolph,Backstreet,11,,3,,,,3,,5,,,,the-ridge
0,Rudolph,BoilerUp,11,5,6,,,,,,,,,,"the-colosseum, the-ridge"
1,Rudolph,Folgers,11,,3,,,,,,5,3,,,da-grizz
0,Rudolph,Homer Simpson,11,,,,,5,3,,,3,,,
0,Vixen,Hackman,11,2,9,,,,,,,,,,the-ridge
2,Blitzen,Foundation,10,,9,,,,,,,,1,,"da-grizz, the-ridge"
4,Cupid,Bunker,10,,9,,,,,,,,1,,"black-rock, the-grove, the-silo"
3,Cupid,Duck Hunt,10,,9,,,,,,,,1,,"da-grizz, the-silo"
2,Cupid,Soft Hands,10,,10,,,,,,,,,,the-olympiad
3,Dancer,Cinderella,10,,9,,,,,,,,1,,"the-colosseum, the-ridge"
4,Dasher,Jellystone,10,,9,,,,,,,,1,,"black-rock, the-colosseum, the-grove"
4,Dasher,Scratch and Dent,10,,9,,,,,,,,1,,"the-ridge, the-silo"
3,Donner,Juanita,10,,9,,,,,,,,1,,"the-colosseum, the-ridge"
3,Prancer,Liberty Biberty,10,,9,,,,,,,,1,,"black-rock, the-olympiad, the-ridge"
3,Prancer,Nemo,10,,9,,,,,,,,1,,"black-rock, the-colosseum"
3,Prancer,Spit Valve,10,,9,,,,,,,,1,,"da-grizz, the-olympiad"
4,Prancer,Spit Valve,10,,10,,,,,,,,,,"black-diamond, dmz"
3,Rudolph,Celine Dion,10,,9,,,,,,,,1,,"da-grizz, ravens-nest"
0,Rudolph,Folgers,10,4,6,,,,,,,,,,da-grizz
0,Rudolph,Italian Ice,10,,10,,,,,,,,,,da-grizz
1,Rudolph,Underdog,10,,10,,,,,,,,,,
0,Vixen,Broomstick,10,3,7,,,,,,,,,,"black-diamond, the-ridge"
0,Blitzen,Kidney Beans,9,3,6,,,,,,,,,,"the-colosseum, the-grove"
